file,e_szs,e_exit,e_time,e_crash,zipperposition_szs,zipperposition_exit,zipperposition_time,zipperposition_crash
mut_0178_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0179_0021_round006_20260331_202022_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
mut_0180_0006_r004_20260331_221119_prob_zipperposition_1.p,Unknown,3,0.01,True,GaveUp,0,0.01,False
mut_0181_0018_round005_20260331_201942_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0182_0019_round005_20260331_201942_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0183_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0184_0008_r005_20260331_221136_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0185_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0186_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0187_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0188_0012_round002_20260331_201817_prob_zipperposition_1.p,Unknown,3,0.01,True,ResourceOut,0,29.8,False
mut_0189_0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.02,False
mut_0190_0015_round003_20260331_201852_prob_zipperposition_min_1.p,GaveUp,9,0.02,True,CounterSatisfiable,0,0.01,False
mut_0191_0013_round002_20260331_201817_prob_zipperposition_min_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0192_0010_round001_20260331_201748_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0193_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0194_0014_round003_20260331_201852_prob_zipperposition_1.p,Unknown,3,0.01,True,Theorem,0,0.03,False
mut_0195_0017_round004_20260331_201918_prob_zipperposition_min_1.p,Theorem,0,0.01,False,Theorem,0,0.01,False
mut_0196_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0197_0015_round003_20260331_201852_prob_zipperposition_min_1.p,GaveUp,9,0.01,True,CounterSatisfiable,0,0.01,False
mut_0198_0024_round008_20260331_202108_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
mut_0199_0004_r003_20260331_221053_prob_zipperposition_1.p,Unknown,3,0.01,True,Unknown,1,0.01,False
